Season,League,Player,Team,Age,Position,Goal-Scoring,Assist-Creation,Attack,Dribbling,Possession,Defense,Physical,Goalkeeping,PosRank,Grade,Sale,Cost
2025/26,Campeonato de Portugal,José Sacra,Benfica Castelo Branco,26,CF,94.34,64.03,86.47,77.89,61.45,39.47,60.79,0,2,S,,
2025/26,Campeonato de Portugal,Didi,Beira-Mar,27,CF,69.87,65.03,78.87,83.33,68.55,48.6,55.53,0,6,A,,
2025/26,Campeonato de Portugal,Pedro Duarte,Lagoa,27,CF,35.53,61.86,45.19,65.61,55,51.23,55.79,0,45,C,,
2025/26,Campeonato de Portugal,Henrique Cavalcante,Vitória de Sernache,27,CF,55,57,61.95,64.21,41.32,59.47,78.68,0,20,B,,
2025/26,Campeonato de Portugal,Pedro Pauleta,Alpendorada,27,CF,68.95,50.99,61.8,49.82,63.16,34.39,45,0,41,C,,
2025/26,Campeonato de Portugal,Alex,Brito,27,CF,54.61,29.58,48.05,31.75,19.34,50.7,53.55,0,64,D,,
2025/26,Campeonato de Portugal,O. Okenwa,Oliveira Hospital,27,CF,73.29,36.95,47.52,33.68,25.53,17.37,31.32,0,77,D,,
2025/26,Campeonato de Portugal,F. Estanga,Bragança,27,CF,31.97,69.92,40.08,35.09,42.89,53.77,24.47,0,68,D,,
2025/26,Campeonato de Portugal,Henrique Henriques,Sintrense,27,CF,72.37,55.06,48.12,31.05,64.47,84.56,49.21,0,30,B,,
2025/26,Campeonato de Portugal,Rúben Pereira,Resende,27,CF,46.45,70.52,63.16,68.77,58.55,47.63,48.68,0,26,B,,
2025/26,Campeonato de Portugal,Rúben Araújo,Alcochetense,27,CF,43.29,30.34,17.44,10,19.21,37.72,17.37,0,94,F,,
2025/26,Campeonato de Portugal,D. Gameiro,UD da Serra,27,CF,19.87,72.56,44.29,47.37,56.84,56.84,48.29,0,53,C,,
2025/26,Campeonato de Portugal,Ouvido Lourenço,Machico,28,CF,78.03,18.35,48.35,33.16,31.32,54.74,49.61,0,55,C,,
2025/26,Campeonato de Portugal,Didi,Samora Correia,28,CF,51.97,61.46,49.85,50.7,63.82,67.37,66.97,0,29,B,,
2025/26,Campeonato de Portugal,Mboulou Júnior,Cinfães,28,CF,28.82,43.86,30.9,38.42,53.55,24.21,40.13,0,89,E,,
2025/26,Campeonato de Portugal,Emmanuel Eze,Vasco da Gama Vidigueira,28,CF,54.61,28.04,29.25,13.51,31.71,54.39,50.79,0,84,E,,
2025/26,Campeonato de Portugal,B. Muniz De Souza,Eléctrico,28,CF,91.58,36.95,77.52,71.58,64.87,22.98,52.37,0,14,B,,
2025/26,Campeonato de Portugal,Valdu Té,Sintrense,28,CF,67.37,58.18,46.02,10.18,28.55,67.19,39.61,0,58,C,,
2025/26,Campeonato de Portugal,Peterson,Anadia,28,CF,42.63,59.01,56.54,76.67,59.87,44.91,53.29,0,32,B,,
2025/26,Campeonato de Portugal,Rudy Monteiro,Ribeira Brava,29,CF,46.71,38.4,57.44,78.07,77.5,81.14,78.03,0,11,A,,
2025/26,Campeonato de Portugal,Adílio Varela,Moncarapachense,29,CF,16.32,83.91,55.71,80.53,65.66,45,47.5,0,37,C,,
2025/26,Campeonato de Portugal,Chico Sousa,Rebordosa,29,CF,35,60.32,48.87,63.16,76.32,78.86,60.26,0,23,B,,
2025/26,Campeonato de Portugal,V. Brandão Da Silva,Juventude Évora,29,CF,77.63,54.85,74.74,78.25,60,58.6,61.97,0,7,A,,
2025/26,Campeonato de Portugal,Kenny Nascimento,Ribeira Brava,30,CF,4.34,34.33,23.68,38.6,76.58,70.79,50.53,0,79,D,,
2025/26,Campeonato de Portugal,Totas,Rebordosa,30,CF,73.68,46.02,48.95,22.46,58.55,58.77,29.74,0,50,C,,
2025/26,Campeonato de Portugal,Luizinho,Sintrense,30,CF,36.97,22.74,34.89,34.56,46.32,39.82,42.5,0,85,E,,
2025/26,Campeonato de Portugal,Rui Jorge,AR São Martinho,30,CF,24.74,52,33.76,41.4,51.58,51.58,45.92,0,71,D,,
2025/26,Campeonato de Portugal,Lucão,Juventude Évora,30,CF,45,48.23,40.3,22.81,52.63,45.35,50.92,0,67,D,,
2025/26,Campeonato de Portugal,António Belo,Camacha,31,CF,65.26,48.18,64.59,67.72,38.82,53.77,76.84,0,18,B,,
2025/26,Campeonato de Portugal,Diogo Baptista,Monção,31,CF,41.71,50.99,24.59,9.12,47.5,76.32,47.63,0,78,D,,
2025/26,Campeonato de Portugal,Endric Bahia,FC Serpa,32,CF,23.03,68.53,50.75,81.4,70.79,65.61,61.45,0,24,B,,
2025/26,Campeonato de Portugal,S. Camará,Mortágua,33,CF,52.89,18.35,49.85,57.54,13.95,56.93,65,0,54,C,,
2025/26,Campeonato de Portugal,Joe Pedro,Os Limianos,33,CF,50.66,28.71,29.02,21.58,51.05,65.53,44.74,0,74,D,,
2025/26,Campeonato de Portugal,C. Djaló,Juventude Évora,33,CF,38.82,65.66,53.83,57.02,48.03,51.84,54.61,0,44,C,,
2025/26,Campeonato de Portugal,Luís Gonçalves,Rebordosa,33,CF,21.18,36.95,34.81,42.63,63.03,73.51,45.66,0,62,D,,
2025/26,Campeonato de Portugal,D. Lamas,Peniche,35,CF,45.79,39.76,43.38,20.7,27.89,66.93,47.5,0,66,D,,
2025/26,Campeonato de Portugal,Dany Marques,UD da Serra,35,CF,42.89,51.32,58.35,65.26,61.71,62.81,60.39,0,27,B,,
2025/26,Campeonato de Portugal,Joel Silva,Vianense,35,CF,91.05,52.26,52.11,9.65,53.95,40.18,31.18,0,51,C,,
2025/26,Campeonato de Portugal,André Azevedo,Vila Real,35,CF,13.55,87.88,49.02,68.25,71.45,80.61,65.53,0,22,B,,
2025/26,Campeonato de Portugal,Luisinho,Atlético Malveira,36,CF,34.61,63.05,33.83,19.47,43.68,30.09,13.55,0,90,E,,
2025/26,Campeonato de Portugal,G. Loureiro,Monção,26,GK,0,0,0,0,0,0,0,38.52,51,D,,
2025/26,Campeonato de Portugal,João Lucas,Vitória de Sernache,20,GK,0,0,0,0,0,0,0,64.89,9,A,,
2025/26,Campeonato de Portugal,Rodrigo Morais,Gouveia,20,GK,0,0,0,0,0,0,0,44.81,38,C,,
2025/26,Campeonato de Portugal,Pedro Cardoso,Oliveira Hospital,21,GK,0,0,0,0,0,0,0,59.84,17,B,,
2025/26,Campeonato de Portugal,José Monteiro,Vila Real,21,GK,0,0,0,0,0,0,0,53.42,27,C,,
2025/26,Campeonato de Portugal,E. Tetteh,Fátima,21,GK,0,0,0,0,0,0,0,48.36,34,C,,
2025/26,Campeonato de Portugal,João Júnior,Bragança,22,GK,0,0,0,0,0,0,0,51.91,31,C,,
2025/26,Campeonato de Portugal,Tiago Neto,Sintrense,22,GK,0,0,0,0,0,0,0,58.74,19,B,,
2025/26,Campeonato de Portugal,Lucas Silva,Anadia,22,GK,0,0,0,0,0,0,0,56.83,23,B,,
2025/26,Campeonato de Portugal,Diogo Águas,Lusitânia,22,GK,0,0,0,0,0,0,0,52.32,28,C,,
2025/26,Campeonato de Portugal,Gonçalo Machado,Celoricense,22,GK,0,0,0,0,0,0,0,75.96,2,S,,
2025/26,Campeonato de Portugal,Ruben Cerqueira,Vasco da Gama Vidigueira,22,GK,0,0,0,0,0,0,0,44.4,39,C,,
2025/26,Campeonato de Portugal,Pedro Ferreira,Atlético Malveira,23,GK,0,0,0,0,0,0,0,59.97,16,B,,
2025/26,Campeonato de Portugal,Lucas Fernandes,Moncarapachense,23,GK,0,0,0,0,0,0,0,38.93,48,D,,
2025/26,Campeonato de Portugal,David Romana,Benfica Castelo Branco,23,GK,0,0,0,0,0,0,0,57.79,20,B,,
2025/26,Campeonato de Portugal,Diogo Paiva,Florgrade,23,GK,0,0,0,0,0,0,0,52.19,29,C,,
2025/26,Campeonato de Portugal,Ricardo Van Der Laan,FC Serpa,23,GK,0,0,0,0,0,0,0,59.84,18,B,,
2025/26,Campeonato de Portugal,Rafael Marcelino,Ribeira Brava,24,GK,0,0,0,0,0,0,0,62.02,11,B,,
2025/26,Campeonato de Portugal,Luis González,Chaves B,24,GK,0,0,0,0,0,0,0,70.49,6,A,,
2025/26,Campeonato de Portugal,Hugo Mosca,O Elvas,24,GK,0,0,0,0,0,0,0,25.68,59,F,,
2025/26,Campeonato de Portugal,José Oliveira,Aparecida,24,GK,0,0,0,0,0,0,0,47.68,35,C,,
2025/26,Campeonato de Portugal,Pedro Fortes,JD Lajense,25,GK,0,0,0,0,0,0,0,38.93,49,D,,
2025/26,Campeonato de Portugal,João Frade,Uniao Lamas,25,GK,0,0,0,0,0,0,0,52.19,30,C,,
2025/26,Campeonato de Portugal,Francisco Enes,Uniao Lamas,25,GK,0,0,0,0,0,0,0,51.23,32,C,,
2025/26,Campeonato de Portugal,Diogo Santos,Peniche,25,GK,0,0,0,0,0,0,0,33.06,56,E,,
2025/26,Campeonato de Portugal,Diogo Sá,Marialvas,25,GK,0,0,0,0,0,0,0,30.33,57,E,,
2025/26,Campeonato de Portugal,Leonardo Ferreira,Naval 1º de Maio,25,GK,0,0,0,0,0,0,0,76.5,1,S,,
2025/26,Campeonato de Portugal,Marcão,Louletano,26,GK,0,0,0,0,0,0,0,45.49,37,C,,
2025/26,Campeonato de Portugal,Matthaus Martins,Lagoa,27,GK,0,0,0,0,0,0,0,57.65,21,B,,
2025/26,Campeonato de Portugal,Mário Évora,Juventude Évora,27,GK,0,0,0,0,0,0,0,60.79,15,B,,
2025/26,Campeonato de Portugal,Carlos Madureira,Beira-Mar,27,GK,0,0,0,0,0,0,0,68.85,7,A,,
2025/26,Campeonato de Portugal,Isma Lekbab,Os Limianos,27,GK,0,0,0,0,0,0,0,42.08,42,D,,
2025/26,Campeonato de Portugal,P. Tear,Portimonense SC,27,GK,0,0,0,0,0,0,0,39.34,47,D,,
2025/26,Campeonato de Portugal,Joel Dias,Alcochetense,27,GK,0,0,0,0,0,0,0,62.3,10,B,,
2025/26,Campeonato de Portugal,Duarte Nuno,Camacha,27,GK,0,0,0,0,0,0,0,47.13,36,C,,
2025/26,Campeonato de Portugal,Nando Pedrosa,Mortágua,28,GK,0,0,0,0,0,0,0,53.83,26,C,,
2025/26,Campeonato de Portugal,David Santos,UD da Serra,28,GK,0,0,0,0,0,0,0,56.15,24,B,,
2025/26,Campeonato de Portugal,Filipe Dinis,AR São Martinho,28,GK,0,0,0,0,0,0,0,40.3,45,D,,
2025/26,Campeonato de Portugal,Rui Encarnação,Machico,28,GK,0,0,0,0,0,0,0,38.25,52,D,,
2025/26,Campeonato de Portugal,Daniel Júnior,Vilaverdense,28,GK,0,0,0,0,0,0,0,73.5,4,S,,
2025/26,Campeonato de Portugal,Rafa Pires,Eléctrico,28,GK,0,0,0,0,0,0,0,36.61,53,D,,
2025/26,Campeonato de Portugal,Vitor Feltes,Mirandela,29,GK,0,0,0,0,0,0,0,61.2,13,B,,
2025/26,Campeonato de Portugal,T. Botelho Santos Costa,Comércio Indústria,29,GK,0,0,0,0,0,0,0,42.35,41,D,,
2025/26,Campeonato de Portugal,Bruno Bolas,O Elvas,29,GK,0,0,0,0,0,0,0,62.02,12,B,,
2025/26,Campeonato de Portugal,João Matos,Alpendorada,29,GK,0,0,0,0,0,0,0,71.04,5,S,,
2025/26,Campeonato de Portugal,F. Ohoulo,Anadia,29,GK,0,0,0,0,0,0,0,40.57,43,D,,
2025/26,Campeonato de Portugal,André Paulo,FC Alverca B,29,GK,0,0,0,0,0,0,0,36.48,54,D,,
2025/26,Campeonato de Portugal,Tiago Pereira,Oriental Lisboa,30,GK,0,0,0,0,0,0,0,22.68,60,F,,
2025/26,Campeonato de Portugal,Júlio Neiva,Cinfães,30,GK,0,0,0,0,0,0,0,75.96,3,S,,
2025/26,Campeonato de Portugal,Kevin Douglas,Resende,31,GK,0,0,0,0,0,0,0,40.44,44,D,,
2025/26,Campeonato de Portugal,Paulo Freitas,Aparecida,31,GK,0,0,0,0,0,0,0,36.34,55,D,,
2025/26,Campeonato de Portugal,Miguel Paiva,Leça,31,GK,0,0,0,0,0,0,0,38.8,50,D,,
2025/26,Campeonato de Portugal,Rui Lopes,Brito,32,GK,0,0,0,0,0,0,0,56.15,25,B,,
2025/26,Campeonato de Portugal,José Costa,Vianense,32,GK,0,0,0,0,0,0,0,39.62,46,D,,
2025/26,Campeonato de Portugal,Nélson Pinhão,Samora Correia,32,GK,0,0,0,0,0,0,0,28.83,58,E,,
2025/26,Campeonato de Portugal,Rui Santos,JD Lajense,32,GK,0,0,0,0,0,0,0,21.86,61,F,,
2025/26,Campeonato de Portugal,Chastre,Salgueiros,33,GK,0,0,0,0,0,0,0,68.03,8,A,,
2025/26,Campeonato de Portugal,Luís Monteiro,Vila Meã,33,GK,0,0,0,0,0,0,0,49.32,33,C,,
2025/26,Campeonato de Portugal,Cajó,Tirsense,36,GK,0,0,0,0,0,0,0,57.1,22,B,,
2025/26,Campeonato de Portugal,Pedro Soares,Rebordosa,38,GK,0,0,0,0,0,0,0,61.07,14,B,,
2025/26,Campeonato de Portugal,António Filipe,Atlético Malveira,41,GK,0,0,0,0,0,0,0,44.4,40,C,,
